P413/P413/P413/P413/P54_h/P54_t/P580/P582	Q1368195	Q1143358	Q1368170	Q1326154	Q1046185	Q329816	+2000-07-19T00:00:00Z#0#0#0#11#http://www.wikidata.org/entity/Q1985727	+2012-12-09T00:00:00Z#0#0#0#11#http://www.wikidata.org/entity/Q1985727
P1534/P2715/P39_h/P39_t/P4100/P580/P582/P768	Q741182	Q2562399	Q333036	Q37303713	Q215519	+2007-03-09T00:00:00Z#0#0#0#11#http://www.wikidata.org/entity/Q1985727	+2011-03-24T00:00:00Z#0#0#0#11#http://www.wikidata.org/entity/Q1985727	Q4882274
P1534/P2715/P39_h/P39_t/P4100/P580/P582/P768	Q741182	Q2076208	Q333036	Q37303731	Q215519	+1998-06-25T00:00:00Z#0#0#0#11#http://www.wikidata.org/entity/Q1985727	+2003-04-28T00:00:00Z#0#0#0#11#http://www.wikidata.org/entity/Q1985727	Q4882274
P512/P580/P582/P69_h/P69_t/P812/P812/P812	Q163727	+1923-00-00T00:00:00Z#0#0#0#9#http://www.wikidata.org/entity/Q1985727	+1927-00-00T00:00:00Z#0#0#0#9#http://www.wikidata.org/entity/Q1985727	Q37327	Q258464	Q150	Q652	Q186579
P102/P1534/P2715/P39_h/P39_t/P580/P582/P768	Q10658	Q741182	Q1269950	Q467112	Q30580541	+1999-05-06T00:00:00Z#0#0#0#11#http://www.wikidata.org/entity/Q1985727	+2003-03-31T00:00:00Z#0#0#0#11#http://www.wikidata.org/entity/Q1985727	Q1529479
P102/P1534/P2715/P39_h/P39_t/P580/P582/P768	Q10658	Q741182	Q683800	Q467112	Q30580542	+2003-05-01T00:00:00Z#0#0#0#11#http://www.wikidata.org/entity/Q1985727	+2007-04-02T00:00:00Z#0#0#0#11#http://www.wikidata.org/entity/Q1985727	Q1529479
P1534/P2715/P39_h/P39_t/P4100/P580/P582/P768	Q796919	Q215622	Q57689	Q35494253	Q76382	+2010-05-06T00:00:00Z#0#0#0#11#http://www.wikidata.org/entity/Q1985727	+2013-01-02T00:00:00Z#0#0#0#11#http://www.wikidata.org/entity/Q1985727	Q751660
P1534/P2715/P39_h/P39_t/P4100/P580/P582/P768	Q741182	Q918503	Q57689	Q36634044	Q76382	+1997-05-01T00:00:00Z#0#0#0#11#http://www.wikidata.org/entity/Q1985727	+2001-05-14T00:00:00Z#0#0#0#11#http://www.wikidata.org/entity/Q1985727	Q751660
P1534/P2715/P39_h/P39_t/P4100/P580/P582/P768	Q741182	Q16973450	Q57689	Q37279037	Q76382	+2016-05-07T00:00:00Z#0#0#0#11#http://www.wikidata.org/entity/Q1985727	+2017-01-26T00:00:00Z#0#0#0#11#http://www.wikidata.org/entity/Q1985727	Q5477379
P1534/P2715/P39_h/P39_t/P4100/P580/P582/P768	Q741182	Q7058474	Q57689	Q37279086	Q76382	+2011-05-06T00:00:00Z#0#0#0#11#http://www.wikidata.org/entity/Q1985727	+2016-03-24T00:00:00Z#0#0#0#11#http://www.wikidata.org/entity/Q1985727	Q6841031
P1534/P2715/P39_h/P39_t/P4100/P580/P582/P768	Q741182	Q2562399	Q57689	Q37303713	Q76382	+2007-03-09T00:00:00Z#0#0#0#11#http://www.wikidata.org/entity/Q1985727	+2011-03-24T00:00:00Z#0#0#0#11#http://www.wikidata.org/entity/Q1985727	Q6841031
P1534/P2715/P39_h/P39_t/P4100/P580/P582/P768	Q741182	Q2076187	Q57689	Q37303721	Q76382	+2003-11-26T00:00:00Z#0#0#0#11#http://www.wikidata.org/entity/Q1985727	+2007-01-30T00:00:00Z#0#0#0#11#http://www.wikidata.org/entity/Q1985727	Q6841031
P1534/P2715/P39_h/P39_t/P4100/P580/P582/P768	Q741182	Q2076208	Q57689	Q37303731	Q76382	+1998-06-25T00:00:00Z#0#0#0#11#http://www.wikidata.org/entity/Q1985727	+2003-04-28T00:00:00Z#0#0#0#11#http://www.wikidata.org/entity/Q1985727	Q6841031
